# Forces        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          forces(pressure viscous porous)	moments(pressure viscous porous)
35              	((2.10965589e-04 2.05236975e-01 -1.22073243e-04) (-5.09567031e-06 2.79162979e-03 1.81482140e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.30737549e-06 -3.40514748e-06 -9.59323323e-06) (-5.66992957e-08 -2.76934072e-08 1.52650066e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
36              	((1.04580870e-04 2.24895626e-01 -7.97626800e-05) (-4.42067317e-06 2.67876153e-03 1.35910787e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.89185989e-06 -3.52579289e-06 -5.46184065e-06) (-6.15982347e-08 -1.84901664e-08 4.40675340e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
37              	((-1.75457893e-05 2.39803063e-01 -3.72578500e-05) (-3.71553725e-06 2.57049974e-03 1.28607381e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.23227247e-06 -2.99496350e-06 -4.49700755e-07) (-5.12622276e-08 -2.07684316e-08 -9.38789481e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
38              	((-1.28554786e-04 2.48324754e-01 -5.17621912e-06) (-2.75459984e-06 2.47196684e-03 1.47110350e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-5.54796593e-07 -2.01638726e-06 4.40990255e-06) (-4.14332930e-08 -1.83777679e-08 7.02148300e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
39              	((-1.87878596e-04 2.50000074e-01 1.87721426e-05) (-2.43949264e-06 2.38685577e-03 1.06286318e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((5.76980849e-08 -9.42917479e-07 7.20316161e-06) (-4.37759437e-08 -1.08098766e-08 1.40726991e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
40              	((-1.91872330e-04 2.46842032e-01 3.42683992e-05) (-1.28823252e-06 2.31211665e-03 8.51066126e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((5.50590245e-07 2.12866364e-08 7.61990749e-06) (-4.28600090e-08 -5.37080654e-09 2.83155489e-11) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
41              	((-1.56678299e-04 2.41380061e-01 4.24003039e-05) (-6.89432843e-07 2.24396274e-03 5.85102809e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.20092677e-07 7.08529081e-07 6.23871686e-06) (-4.06749304e-08 -4.36712954e-10 -4.27060217e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
42              	((-1.02068379e-04 2.36027701e-01 4.83570994e-05) (-2.73802126e-07 2.18395882e-03 5.58872838e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.20448556e-06 1.10428544e-06 3.96490350e-06) (-3.18127186e-08 -1.14001616e-09 2.28610165e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
43              	((-4.49485079e-05 2.32417231e-01 5.49038611e-05) (2.16282209e-07 2.12949216e-03 1.39976802e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.43901077e-06 1.24728147e-06 1.42500955e-06) (-3.77404040e-08 -5.04423244e-10 2.68590367e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
44              	((1.36991591e-06 2.31145807e-01 6.25710667e-05) (7.51481675e-07 2.07973649e-03 -1.42849634e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.62772235e-06 1.20387794e-06 -7.18958432e-07) (-3.60211607e-08 -5.08824101e-10 -4.49715678e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
45              	((2.91230575e-05 2.31883869e-01 7.05380405e-05) (1.01446451e-06 2.03400192e-03 -4.08728523e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.78887505e-06 1.04600510e-06 -2.01643214e-06) (-3.30096788e-08 9.11322421e-10 3.50528164e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
46              	((4.03726323e-05 2.33832915e-01 7.96451307e-05) (1.39420741e-06 1.99263025e-03 -5.58172011e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.88277347e-06 8.63484448e-07 -2.58951681e-06) (-4.51471591e-08 6.63552758e-09 -6.36804356e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
47              	((3.73370136e-05 2.36491562e-01 8.79690387e-05) (1.77408934e-06 1.95569576e-03 -7.78825150e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.03263138e-06 7.27784520e-07 -2.52567699e-06) (-4.77007743e-08 2.72144028e-09 -4.22411599e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
48              	((2.36185757e-05 2.39163403e-01 9.50512367e-05) (1.95945391e-06 1.92251950e-03 -4.92959457e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.20537837e-06 6.82250527e-07 -1.93616365e-06) (-3.72469142e-08 -2.70012293e-09 -5.58001742e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
49              	((6.43499889e-06 2.41341872e-01 1.00120150e-04) (2.08444359e-06 1.89254317e-03 -4.54371938e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.35399268e-06 7.30070987e-07 -1.12121734e-06) (-3.43747221e-08 2.04612770e-09 -5.20781631e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
50              	((-7.82906507e-06 2.42792637e-01 1.02238996e-04) (2.33081737e-06 1.86578523e-03 -3.86357525e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.45290190e-06 8.55726219e-07 -4.16421458e-07) (-2.94215500e-08 5.82296744e-09 -1.02344021e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
51              	((-1.71768600e-05 2.43504353e-01 1.01513776e-04) (2.32738004e-06 1.84169806e-03 -3.91719772e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.49264679e-06 1.02295594e-06 1.41690664e-07) (-2.77748629e-08 8.47682776e-09 -2.80373595e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
52              	((-1.67864418e-05 2.43677780e-01 9.48056975e-05) (2.50995142e-06 1.82004603e-03 -4.41984556e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.49889818e-06 1.19767700e-06 2.61169941e-07) (-2.75788462e-08 6.13904032e-09 -7.39024669e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
53              	((-1.14296129e-05 2.43389232e-01 8.90861251e-05) (2.52572906e-06 1.80088265e-03 -4.55637887e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.43323774e-06 1.32849185e-06 1.61164421e-07) (-2.66123212e-08 5.68092194e-09 2.64160979e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
54              	((-1.70162842e-06 2.42939344e-01 8.53707187e-05) (2.81455901e-06 1.78392182e-03 -4.40796527e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.33834414e-06 1.40330651e-06 -1.99962076e-07) (-2.57198784e-08 9.10914711e-09 -4.22493979e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
55              	((8.45168576e-06 2.42561094e-01 8.31331772e-05) (2.89071687e-06 1.76940747e-03 -2.70625336e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.23642060e-06 1.42413024e-06 -6.06299684e-07) (-1.92518836e-08 1.24084647e-08 -1.30715936e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
56              	((1.64250937e-05 2.42352464e-01 8.47823712e-05) (3.17167154e-06 1.75685547e-03 -4.04923361e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.12586962e-06 1.38942661e-06 -9.73446076e-07) (-2.21802184e-08 9.13415526e-09 -9.97441893e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
57              	((2.23602225e-05 2.42351297e-01 8.52572247e-05) (3.10898030e-06 1.74676873e-03 -5.39881292e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.04484153e-06 1.34244476e-06 -1.22590479e-06) (-2.64034742e-08 8.22686539e-09 -1.87306989e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
58              	((2.61626478e-05 2.42530393e-01 8.47811971e-05) (3.05778114e-06 1.73911150e-03 -2.99072423e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.00289267e-06 1.30132176e-06 -1.38649605e-06) (-1.76838086e-08 1.34390114e-08 3.67427819e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
59              	((2.92100961e-05 2.42816695e-01 8.30423975e-05) (3.28477323e-06 1.73384623e-03 -1.23470490e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.96715643e-06 1.27138691e-06 -1.53839763e-06) (-1.11688546e-08 1.59478205e-08 -2.41119499e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
60              	((3.20482062e-05 2.43126143e-01 8.01380153e-05) (3.52380484e-06 1.73083770e-03 -1.45088385e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.93733635e-06 1.25686738e-06 -1.69645909e-06) (-1.14054430e-08 1.42709919e-08 -1.07427049e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
61              	((3.26553383e-05 2.43384939e-01 7.67034398e-05) (3.38835130e-06 1.72964768e-03 -2.00006904e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.89767138e-06 1.25919618e-06 -1.70292750e-06) (-1.38114736e-08 1.65310710e-08 -2.11100236e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
62              	((3.43298368e-05 2.43548364e-01 7.33280120e-05) (3.45696756e-06 1.73035288e-03 -1.25933903e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.84712841e-06 1.26939416e-06 -1.76010432e-06) (-1.07211105e-08 1.86584154e-08 -6.26008022e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
63              	((3.63044404e-05 2.43591166e-01 6.94740949e-05) (3.37212029e-06 1.73247309e-03 -7.54215154e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.78458164e-06 1.27758042e-06 -1.79172775e-06) (-7.02435435e-09 1.92944129e-08 -2.03649304e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
64              	((3.91440164e-05 2.43503916e-01 6.61320428e-05) (3.38651216e-06 1.73549890e-03 -4.95745539e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.70617185e-06 1.28005592e-06 -1.88067776e-06) (-6.32604044e-09 1.85133735e-08 -5.02131203e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
65              	((4.05513099e-05 2.43295544e-01 6.37573363e-05) (3.22927220e-06 1.73969056e-03 2.04015120e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.60810223e-06 1.26853994e-06 -1.88020398e-06) (-3.11498345e-09 1.86140391e-08 1.14351964e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
66              	((4.18709304e-05 2.42997341e-01 6.24787751e-05) (3.24498175e-06 1.74459606e-03 -1.46070549e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.52651085e-06 1.24614225e-06 -1.90972702e-06) (-5.97014526e-09 1.85670545e-08 -2.89815160e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
67              	((4.30112029e-05 2.42645341e-01 6.25066010e-05) (3.21404240e-06 1.74975876e-03 3.51007791e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.45760200e-06 1.22012967e-06 -1.95235592e-06) (-5.74977274e-09 1.88407138e-08 -5.30884147e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
