# Residuals   
# Time        	p             	Ux            	Uy            	k             	epsilon       
0.05104       	2.084155e-04	4.120564e-04	1.565045e-04	1.329213e-04	2.042103e-04
0.05105       	2.089605e-04	4.144427e-04	1.554661e-04	1.359648e-04	2.060732e-04
0.05106       	2.099882e-04	4.160188e-04	1.598883e-04	1.342351e-04	2.071486e-04
0.05107       	2.095116e-04	4.183708e-04	1.594389e-04	1.349758e-04	2.086717e-04
0.05108       	2.110241e-04	4.181455e-04	1.557134e-04	1.365352e-04	2.101903e-04
0.05109       	2.110136e-04	4.210610e-04	1.561777e-04	1.373991e-04	2.114002e-04
0.0511        	2.106595e-04	4.221531e-04	1.566061e-04	1.366363e-04	2.125204e-04
0.05111       	2.096215e-04	4.242234e-04	1.557036e-04	1.382632e-04	2.140732e-04
0.05112       	2.096069e-04	4.241851e-04	1.569592e-04	1.388156e-04	2.155824e-04
0.05113       	2.090468e-04	4.278611e-04	1.610098e-04	1.383331e-04	2.168326e-04
0.05114       	2.099389e-04	4.273561e-04	1.561066e-04	1.408088e-04	2.186180e-04
0.05115       	2.088021e-04	4.295317e-04	1.566486e-04	1.414457e-04	2.200461e-04
0.05116       	2.085947e-04	4.299380e-04	1.572212e-04	1.406073e-04	2.213470e-04
0.05117       	2.065335e-04	4.316429e-04	1.576289e-04	1.401733e-04	2.225781e-04
0.05118       	2.064945e-04	4.310780e-04	1.574217e-04	1.404076e-04	2.239825e-04
0.05119       	2.063984e-04	4.327925e-04	1.564653e-04	1.421020e-04	2.254640e-04
0.0512        	2.055406e-04	4.327565e-04	1.577181e-04	1.435042e-04	2.270240e-04
0.05121       	2.046624e-04	4.353405e-04	1.611268e-04	1.418993e-04	2.279334e-04
0.05122       	2.033821e-04	4.336261e-04	1.576205e-04	1.431599e-04	2.293651e-04
0.05123       	2.024316e-04	4.349235e-04	1.579158e-04	1.427888e-04	2.303659e-04
0.05124       	2.024324e-04	4.344240e-04	1.576727e-04	1.429407e-04	2.315602e-04
0.05125       	2.028352e-04	4.359127e-04	1.566130e-04	1.456913e-04	2.330909e-04
0.05126       	2.020456e-04	4.372305e-04	1.635937e-04	1.437315e-04	2.338674e-04
0.05127       	2.018166e-04	4.371613e-04	1.567934e-04	1.452648e-04	2.350566e-04
0.05128       	2.011991e-04	4.367869e-04	1.579930e-04	1.455231e-04	2.360861e-04
0.05129       	2.008383e-04	4.389235e-04	1.629496e-04	1.461229e-04	2.373719e-04
0.0513        	1.997679e-04	4.372280e-04	1.580180e-04	1.452542e-04	2.386318e-04
0.05131       	1.997085e-04	4.375625e-04	1.568014e-04	1.469341e-04	2.400931e-04
0.05132       	1.986540e-04	4.371880e-04	1.578822e-04	1.460437e-04	2.411099e-04
0.05133       	1.988264e-04	4.376916e-04	1.565988e-04	1.478161e-04	2.423584e-04
0.05134       	1.995914e-04	4.373670e-04	1.569180e-04	1.477487e-04	2.433120e-04
0.05135       	1.972333e-04	4.372600e-04	1.570922e-04	1.482710e-04	2.440909e-04
0.05136       	1.965367e-04	4.372782e-04	1.604245e-04	1.471052e-04	2.446863e-04
0.05137       	1.966206e-04	4.367116e-04	1.560477e-04	1.486527e-04	2.453479e-04
0.05138       	1.959055e-04	4.361020e-04	1.571329e-04	1.476244e-04	2.456538e-04
0.05139       	1.958757e-04	4.364324e-04	1.558291e-04	1.480329e-04	2.459852e-04
0.0514        	1.956152e-04	4.362152e-04	1.555528e-04	1.487562e-04	2.464429e-04
0.05141       	1.949613e-04	4.365282e-04	1.556923e-04	1.482360e-04	2.463703e-04
0.05142       	1.938851e-04	4.364998e-04	1.554057e-04	1.479499e-04	2.464500e-04
0.05143       	1.947242e-04	4.367128e-04	1.541721e-04	1.504666e-04	2.474518e-04
0.05144       	1.928967e-04	4.382886e-04	1.620328e-04	1.482945e-04	2.483538e-04
0.05145       	1.926657e-04	4.369975e-04	1.541200e-04	1.486503e-04	2.493101e-04
0.05146       	1.914657e-04	4.373147e-04	1.539426e-04	1.493184e-04	2.501663e-04
0.05147       	1.912137e-04	4.371190e-04	1.541578e-04	1.487036e-04	2.504037e-04
0.05148       	1.893227e-04	4.379164e-04	1.540000e-04	1.483470e-04	2.507268e-04
0.05149       	1.902420e-04	4.379724e-04	1.528449e-04	1.486338e-04	2.512076e-04
0.0515        	1.894130e-04	4.391342e-04	1.527945e-04	1.492253e-04	2.520371e-04
0.05151       	1.896353e-04	4.391252e-04	1.530969e-04	1.485575e-04	2.523358e-04
0.05152       	1.874852e-04	4.404261e-04	1.530347e-04	1.481238e-04	2.527536e-04
0.05153       	1.883140e-04	4.403543e-04	1.519885e-04	1.483432e-04	2.529999e-04
0.05154       	1.872345e-04	4.417086e-04	1.520830e-04	1.478645e-04	2.533586e-04
0.05155       	1.877612e-04	4.414962e-04	1.513054e-04	1.490536e-04	2.539444e-04
0.05156       	1.866011e-04	4.427847e-04	1.526709e-04	1.475680e-04	2.541642e-04
0.05157       	1.862598e-04	4.424080e-04	1.517218e-04	1.477136e-04	2.543573e-04
0.05158       	1.850765e-04	4.436845e-04	1.517925e-04	1.471323e-04	2.545366e-04
