# Forces        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          forces(pressure viscous porous)	moments(pressure viscous porous)
0.00391441      	((-1.70431394e-06 7.70594330e-02 -6.90392426e-07) (5.67080020e-07 1.26834961e-03 -3.84999973e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-4.53260984e-09 6.81946200e-09 1.60509422e-07) (-3.05866352e-09 2.49729047e-09 7.02148057e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00419103      	((-1.37027789e-06 7.62863878e-02 -5.17448314e-07) (-1.89812503e-07 1.23607333e-03 -6.55547210e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.20238679e-08 -4.99300712e-09 9.68269250e-08) (-1.46739899e-09 4.06421397e-10 -5.15020322e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00446765      	((-1.37702857e-06 7.55797743e-02 -3.47677982e-07) (-4.04458830e-07 1.20774028e-03 3.45679657e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-7.06345782e-09 -5.23623944e-09 8.00912947e-08) (5.31648297e-09 3.10982544e-09 -3.53002645e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00474426      	((-1.57348786e-06 7.49513962e-02 -9.67652056e-08) (1.67735053e-07 1.18558830e-03 7.48024426e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((4.38353753e-09 -7.04048753e-09 8.93984200e-08) (-8.94790366e-10 4.12227674e-10 4.54072263e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00502088      	((-4.63063353e-07 7.43491729e-02 -2.46179241e-07) (-5.19950186e-07 1.16226751e-03 1.90719583e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.66672270e-09 -1.08382844e-08 1.93073608e-08) (1.85154613e-09 6.55418843e-09 -2.10476563e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0052975       	((-4.22441655e-06 7.37919956e-02 -7.74973799e-07) (8.24040421e-07 1.14103127e-03 -3.69016647e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.90972349e-10 -4.85893122e-08 2.39249911e-07) (-5.16029014e-09 5.43412449e-09 1.50162893e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00557412      	((-4.22540296e-06 7.32733131e-02 -3.78086071e-07) (9.90302173e-07 1.12324278e-03 -2.93979094e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((3.15555115e-08 -3.01221392e-08 2.02418119e-07) (1.40094688e-09 5.95514947e-10 4.74975685e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00585073      	((-3.46833837e-06 7.28006203e-02 -1.08325239e-07) (9.25573832e-07 1.10772410e-03 -3.43422794e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.45824726e-08 -7.20129240e-08 2.47185119e-07) (-3.34705810e-09 5.05746279e-09 4.24137268e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00612735      	((2.20321738e-06 7.23541434e-02 -5.69098120e-07) (8.22831871e-07 1.09270896e-03 -4.30601204e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.88188161e-08 1.14471652e-08 -1.21340522e-07) (-5.85835064e-09 1.35945744e-09 9.04682078e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00640397      	((-3.76680604e-06 7.19028139e-02 -1.12888372e-07) (8.24276103e-07 1.07755524e-03 -4.30226042e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.39816276e-08 3.06712102e-08 1.48368323e-07) (-4.31517698e-10 8.30741571e-10 4.77278538e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
