# y+ ()       
# Time        	patch         	min           	max           	average       
0.031         	region0_to_wallFilmRegion_wallFilmFaces	5.990395e+00	2.064767e+01	1.114573e+01
0.0315        	splitter	3.892728e+01	9.610016e+01	5.278488e+01
0.0315        	back	5.444184e+00	1.077468e+01	8.330339e+00
0.0315        	region0_to_wallFilmRegion_wallFilmFaces	5.990129e+00	2.069274e+01	1.118236e+01
0.032         	splitter	4.179266e+01	9.631601e+01	5.452208e+01
0.032         	back	5.484732e+00	1.103768e+01	8.399883e+00
0.032         	region0_to_wallFilmRegion_wallFilmFaces	5.989654e+00	2.073256e+01	1.129017e+01
0.0325        	splitter	4.325976e+01	1.062072e+02	5.705808e+01
0.0325        	back	5.527836e+00	1.131466e+01	8.478824e+00
0.0325        	region0_to_wallFilmRegion_wallFilmFaces	5.989641e+00	2.057537e+01	1.172226e+01
0.033         	splitter	4.462263e+01	1.047903e+02	5.824524e+01
0.033         	back	5.571998e+00	1.145569e+01	8.556429e+00
0.033         	region0_to_wallFilmRegion_wallFilmFaces	5.989612e+00	2.052161e+01	1.260162e+01
0.0335        	splitter	4.540234e+01	1.029552e+02	5.881559e+01
0.0335        	back	5.618905e+00	1.152349e+01	8.627013e+00
0.0335        	region0_to_wallFilmRegion_wallFilmFaces	5.990015e+00	2.187404e+01	1.348448e+01
0.034         	splitter	4.590467e+01	1.020187e+02	5.909608e+01
0.034         	back	5.668032e+00	1.154229e+01	8.694144e+00
0.034         	region0_to_wallFilmRegion_wallFilmFaces	5.990145e+00	2.337694e+01	1.413690e+01
0.0345        	splitter	4.755190e+01	1.099241e+02	6.038209e+01
0.0345        	back	5.719864e+00	1.150718e+01	8.757871e+00
0.0345        	region0_to_wallFilmRegion_wallFilmFaces	5.991570e+00	2.438546e+01	1.466843e+01
0.035         	splitter	4.836994e+01	1.150388e+02	6.165400e+01
0.035         	back	5.774723e+00	1.155133e+01	8.838658e+00
0.035         	region0_to_wallFilmRegion_wallFilmFaces	5.991247e+00	2.552335e+01	1.509131e+01
0.0355        	splitter	4.842038e+01	1.112630e+02	6.241887e+01
0.0355        	back	5.833971e+00	1.152414e+01	8.909814e+00
0.0355        	region0_to_wallFilmRegion_wallFilmFaces	5.992322e+00	2.698438e+01	1.536404e+01
0.036         	splitter	4.886572e+01	1.243709e+02	6.403575e+01
0.036         	back	5.896431e+00	1.150854e+01	8.997159e+00
0.036         	region0_to_wallFilmRegion_wallFilmFaces	5.993086e+00	2.828843e+01	1.553109e+01
0.0365        	splitter	4.967051e+01	1.164047e+02	6.410014e+01
0.0365        	back	5.963771e+00	1.157167e+01	9.091219e+00
0.0365        	region0_to_wallFilmRegion_wallFilmFaces	5.992593e+00	2.925178e+01	1.559653e+01
0.037         	splitter	5.209612e+01	1.187841e+02	6.497855e+01
0.037         	back	6.034630e+00	1.156415e+01	9.185836e+00
0.037         	region0_to_wallFilmRegion_wallFilmFaces	5.992869e+00	2.979462e+01	1.553838e+01
0.0375        	splitter	5.263424e+01	1.152674e+02	6.530714e+01
0.0375        	back	6.109490e+00	1.153516e+01	9.286459e+00
0.0375        	region0_to_wallFilmRegion_wallFilmFaces	5.992426e+00	3.003153e+01	1.556058e+01
0.038         	splitter	5.112140e+01	1.174238e+02	6.591411e+01
0.038         	back	6.185795e+00	1.156378e+01	9.386364e+00
0.038         	region0_to_wallFilmRegion_wallFilmFaces	5.992850e+00	3.009626e+01	1.560899e+01
0.0385        	splitter	5.157673e+01	1.212005e+02	6.673351e+01
0.0385        	back	6.262271e+00	1.153951e+01	9.483988e+00
0.0385        	region0_to_wallFilmRegion_wallFilmFaces	5.993024e+00	2.996742e+01	1.558302e+01
0.039         	splitter	5.093184e+01	1.205776e+02	6.725302e+01
0.039         	back	6.337987e+00	1.153148e+01	9.585193e+00
0.039         	region0_to_wallFilmRegion_wallFilmFaces	5.992903e+00	2.972249e+01	1.547154e+01
0.0395        	splitter	5.197584e+01	1.262940e+02	6.781886e+01
0.0395        	back	6.409307e+00	1.149300e+01	9.673130e+00
0.0395        	region0_to_wallFilmRegion_wallFilmFaces	5.992879e+00	2.956783e+01	1.530850e+01
0.04          	splitter	5.365183e+01	1.294988e+02	6.823670e+01
0.04          	back	6.475568e+00	1.154315e+01	9.761795e+00
0.04          	region0_to_wallFilmRegion_wallFilmFaces	5.991833e+00	2.908067e+01	1.515312e+01
0.0405        	splitter	5.114964e+01	1.239217e+02	6.820980e+01
0.0405        	back	6.537808e+00	1.155570e+01	9.847058e+00
0.0405        	region0_to_wallFilmRegion_wallFilmFaces	5.991060e+00	2.867499e+01	1.506878e+01
0.041         	splitter	5.188924e+01	1.278892e+02	6.793700e+01
0.041         	back	6.595426e+00	1.156449e+01	9.916143e+00
0.041         	region0_to_wallFilmRegion_wallFilmFaces	5.990132e+00	2.855791e+01	1.502796e+01
0.0415        	splitter	5.040683e+01	1.160904e+02	6.624764e+01
0.0415        	back	6.647751e+00	1.151264e+01	9.963157e+00
0.0415        	region0_to_wallFilmRegion_wallFilmFaces	5.988360e+00	2.845244e+01	1.511939e+01
0.042         	splitter	4.993187e+01	1.122984e+02	6.523176e+01
0.042         	back	6.694488e+00	1.152683e+01	1.001329e+01
0.042         	region0_to_wallFilmRegion_wallFilmFaces	5.987646e+00	2.836805e+01	1.531430e+01
0.0425        	splitter	5.067336e+01	1.137014e+02	6.503452e+01
0.0425        	back	6.734903e+00	1.154381e+01	1.004826e+01
0.0425        	region0_to_wallFilmRegion_wallFilmFaces	5.986229e+00	2.827502e+01	1.542057e+01
0.043         	splitter	5.085245e+01	1.139994e+02	6.526507e+01
0.043         	back	6.768356e+00	1.153601e+01	1.007548e+01
0.043         	region0_to_wallFilmRegion_wallFilmFaces	5.985252e+00	2.821292e+01	1.530354e+01
0.0435        	splitter	5.075556e+01	1.170711e+02	6.635128e+01
0.0435        	back	6.793502e+00	1.153706e+01	1.009346e+01
0.0435        	region0_to_wallFilmRegion_wallFilmFaces	5.984491e+00	2.820047e+01	1.516485e+01
0.044         	splitter	5.205793e+01	1.207111e+02	6.700757e+01
0.044         	back	6.806042e+00	1.153875e+01	1.008254e+01
0.044         	region0_to_wallFilmRegion_wallFilmFaces	5.984999e+00	2.825745e+01	1.496746e+01
0.0445        	splitter	5.314653e+01	1.293908e+02	6.778860e+01
0.0445        	back	6.808324e+00	1.153753e+01	1.007298e+01
0.0445        	region0_to_wallFilmRegion_wallFilmFaces	5.983744e+00	2.827213e+01	1.495024e+01
0.045         	splitter	5.156863e+01	1.125476e+02	6.568696e+01
0.045         	back	6.799567e+00	1.154399e+01	1.004520e+01
0.045         	region0_to_wallFilmRegion_wallFilmFaces	5.982585e+00	2.857319e+01	1.511297e+01
0.0455        	splitter	4.992544e+01	1.166277e+02	6.603660e+01
0.0455        	back	6.782218e+00	1.152092e+01	9.989601e+00
0.0455        	region0_to_wallFilmRegion_wallFilmFaces	5.983139e+00	2.840831e+01	1.509619e+01
0.046         	splitter	4.835303e+01	1.137477e+02	6.575810e+01
0.046         	back	6.760073e+00	1.152941e+01	9.942415e+00
0.046         	region0_to_wallFilmRegion_wallFilmFaces	5.982805e+00	2.832728e+01	1.509368e+01
0.0465        	splitter	5.003222e+01	1.005185e+02	6.294264e+01
0.0465        	back	6.732011e+00	1.153045e+01	9.873154e+00
0.0465        	region0_to_wallFilmRegion_wallFilmFaces	5.982208e+00	2.900869e+01	1.505613e+01
0.047         	splitter	5.033660e+01	1.093163e+02	6.293621e+01
0.047         	back	6.697327e+00	1.152457e+01	9.792683e+00
0.047         	region0_to_wallFilmRegion_wallFilmFaces	5.984558e+00	3.040192e+01	1.495527e+01
0.0475        	splitter	4.768003e+01	1.133296e+02	6.410191e+01
0.0475        	back	6.656752e+00	1.144563e+01	9.688264e+00
0.0475        	region0_to_wallFilmRegion_wallFilmFaces	5.983934e+00	2.955277e+01	1.484691e+01
0.048         	splitter	4.653266e+01	1.195625e+02	6.633763e+01
