# y+ ()       
# Time        	patch         	min           	max           	average       
0.019         	region0_to_wallFilmRegion_wallFilmFaces	5.997681e+00	2.050474e+01	1.140780e+01
0.0195        	splitter	2.026986e+01	3.306880e+01	2.295062e+01
0.0195        	back	5.203958e+00	1.014457e+01	7.894837e+00
0.0195        	region0_to_wallFilmRegion_wallFilmFaces	5.996737e+00	2.055337e+01	1.140289e+01
0.02          	splitter	2.029177e+01	3.314802e+01	2.297825e+01
0.02          	back	5.205545e+00	1.025527e+01	7.906228e+00
0.02          	region0_to_wallFilmRegion_wallFilmFaces	5.995726e+00	2.043514e+01	1.139597e+01
0.0205        	splitter	2.031463e+01	3.323965e+01	2.300638e+01
0.0205        	back	5.205187e+00	1.036059e+01	7.918316e+00
0.0205        	region0_to_wallFilmRegion_wallFilmFaces	5.994714e+00	2.015274e+01	1.138672e+01
0.021         	splitter	2.034184e+01	3.335484e+01	2.303995e+01
0.021         	back	5.202532e+00	1.045580e+01	7.930590e+00
0.021         	region0_to_wallFilmRegion_wallFilmFaces	5.994431e+00	1.995180e+01	1.137545e+01
0.0215        	splitter	2.037862e+01	3.350663e+01	2.308512e+01
0.0215        	back	5.197549e+00	1.053506e+01	7.942599e+00
0.0215        	region0_to_wallFilmRegion_wallFilmFaces	5.993295e+00	1.977213e+01	1.136223e+01
0.022         	splitter	2.042529e+01	3.370456e+01	2.314250e+01
0.022         	back	5.190558e+00	1.059453e+01	7.953781e+00
0.022         	region0_to_wallFilmRegion_wallFilmFaces	5.992827e+00	1.949425e+01	1.134812e+01
0.0225        	splitter	2.048481e+01	3.397276e+01	2.321795e+01
0.0225        	back	5.181638e+00	1.063089e+01	7.963351e+00
0.0225        	region0_to_wallFilmRegion_wallFilmFaces	5.992524e+00	1.942074e+01	1.133387e+01
0.023         	splitter	2.056977e+01	3.434481e+01	2.332537e+01
0.023         	back	5.171166e+00	1.064408e+01	7.971274e+00
0.023         	region0_to_wallFilmRegion_wallFilmFaces	5.992333e+00	1.950141e+01	1.131921e+01
