# y+ ()       
# Time        	patch         	min           	max           	average       
0.46          	back	3.206558e-01	1.022302e+00	6.055305e-01
0.46          	sides	5.350401e-01	2.939557e+00	1.389429e+00
0.47          	splitter	4.436128e+00	9.648865e+00	5.318779e+00
0.47          	back	3.214350e-01	1.022795e+00	6.067714e-01
0.47          	sides	5.349600e-01	2.938147e+00	1.389484e+00
0.48          	splitter	4.436088e+00	9.648492e+00	5.318615e+00
0.48          	back	3.220562e-01	1.023403e+00	6.079457e-01
0.48          	sides	5.349883e-01	2.937088e+00	1.389574e+00
0.49          	splitter	4.436076e+00	9.648441e+00	5.318670e+00
0.49          	back	3.227966e-01	1.023795e+00	6.090766e-01
0.49          	sides	5.348447e-01	2.935013e+00	1.389630e+00
0.5           	splitter	4.436159e+00	9.648193e+00	5.318583e+00
0.5           	back	3.233695e-01	1.024394e+00	6.101574e-01
0.5           	sides	5.349361e-01	2.936605e+00	1.389715e+00
