# Residuals     
# Time          	p               	Ux              	Uy              	Uz              	k               	epsilon         	h               
0               	N/A	N/A	N/A	N/A	N/A
0.0235135       	1.98130282e-03	2.28874003e-03	1.01701621e-03	1.82913367e-03	1.58367320e-03	1.41514098e-03	7.39132838e-03
0.0237838       	1.96828375e-03	2.26928805e-03	1.00632661e-03	1.81520503e-03	1.57166042e-03	1.40531593e-03	7.29794124e-03
0.0240541       	1.96286308e-03	2.25032909e-03	9.95902057e-04	1.80101913e-03	1.55908143e-03	1.39421628e-03	7.20574918e-03
0.0243243       	1.95441313e-03	2.23074250e-03	9.85577978e-04	1.78704711e-03	1.54581156e-03	1.38218546e-03	7.10866826e-03
0.0245946       	1.94807874e-03	2.21120445e-03	9.75337603e-04	1.77381109e-03	1.53162481e-03	1.36972069e-03	7.01770628e-03
0.0248649       	1.93846824e-03	2.19200086e-03	9.65332308e-04	1.76005276e-03	1.51683857e-03	1.35674060e-03	6.91823694e-03
0.0251351       	1.93340635e-03	2.17359321e-03	9.55387842e-04	1.74711383e-03	1.50171132e-03	1.34091043e-03	6.82780704e-03
0.0254054       	1.92383521e-03	2.15616371e-03	9.45617528e-04	1.73539214e-03	1.48625515e-03	1.32724576e-03	6.73674447e-03
0.0256757       	1.92190868e-03	2.13866949e-03	9.36067365e-04	1.72316955e-03	1.47024107e-03	1.30935930e-03	6.64183210e-03
0.0259459       	1.91814682e-03	2.11962818e-03	9.26957158e-04	1.71069475e-03	1.45351038e-03	1.29384951e-03	6.54659581e-03
0.0262162       	1.91763266e-03	2.10155127e-03	9.17753574e-04	1.69726878e-03	1.43617345e-03	1.27563952e-03	6.44966471e-03
0.0264865       	1.91391174e-03	2.08421337e-03	9.08751172e-04	1.68517570e-03	1.41868376e-03	1.25711322e-03	6.35754517e-03
0.0267568       	1.90342215e-03	2.06636240e-03	8.99853235e-04	1.67328493e-03	1.40085379e-03	1.23754401e-03	6.26962978e-03
0.027027        	1.89721212e-03	2.04762512e-03	8.91072866e-04	1.66066508e-03	1.38265521e-03	1.21926031e-03	6.17725406e-03
0.0272973       	1.89265984e-03	2.02811282e-03	8.82378010e-04	1.64770009e-03	1.36395723e-03	1.19776208e-03	6.08556096e-03
0.0275676       	1.88188088e-03	2.00977943e-03	8.73946728e-04	1.63460812e-03	1.34509992e-03	1.17835406e-03	5.99007010e-03
0.0278378       	1.87103591e-03	1.99122916e-03	8.65555263e-04	1.62153400e-03	1.32575777e-03	1.15661024e-03	5.89590040e-03
0.0281081       	1.86131471e-03	1.97386427e-03	8.57610833e-04	1.61018088e-03	1.30623979e-03	1.13580501e-03	5.79583709e-03
0.0283784       	1.85374922e-03	1.95634636e-03	8.49736939e-04	1.59836380e-03	1.28657650e-03	1.11360062e-03	5.69487039e-03
0.0286486       	1.84268130e-03	1.93789405e-03	8.42059138e-04	1.58583489e-03	1.26680274e-03	1.09299427e-03	5.58716347e-03
0.0289189       	1.83272568e-03	1.91990280e-03	8.34438021e-04	1.57370894e-03	1.24694986e-03	1.06925293e-03	5.48270639e-03
0.0291892       	1.81869210e-03	1.90158162e-03	8.27114704e-04	1.56122647e-03	1.22678647e-03	1.04831837e-03	5.37417782e-03
0.0294595       	1.80638573e-03	1.88459392e-03	8.20046074e-04	1.54962066e-03	1.20678056e-03	1.02548770e-03	5.25805212e-03
0.0297297       	1.78599532e-03	1.86735606e-03	8.13045330e-04	1.53786507e-03	1.18642302e-03	1.00346489e-03	5.14606358e-03
0.03            	1.77438904e-03	1.84987790e-03	8.06143183e-04	1.52577181e-03	1.16639558e-03	9.80275859e-04	5.03306525e-03
0.0302632       	7.36465372e-03	1.79747093e-03	7.81916157e-04	1.48576285e-03	1.12069783e-03	9.37810006e-04	4.80049711e-03
0.0305263       	2.54596134e-03	1.90614523e-03	7.93561370e-04	1.58018276e-03	1.10203190e-03	9.16557805e-04	4.76538985e-03
0.0307895       	2.16786369e-03	1.84830056e-03	7.84907286e-04	1.53293982e-03	1.08306318e-03	8.96730278e-04	4.60197160e-03
0.0310526       	1.97695001e-03	1.80777567e-03	7.75829066e-04	1.50034002e-03	1.06414724e-03	8.74550394e-04	4.49849380e-03
0.0313158       	1.82945670e-03	1.77557646e-03	7.67455609e-04	1.47470223e-03	1.04529196e-03	8.54157924e-04	4.40230312e-03
0.0315789       	1.75582418e-03	1.75109175e-03	7.60098800e-04	1.45607205e-03	1.02725453e-03	8.33086792e-04	4.30288708e-03
0.0318421       	1.69630346e-03	1.72993189e-03	7.52991243e-04	1.43996200e-03	1.00835590e-03	8.12831858e-04	4.21321508e-03
0.0321053       	1.70092355e-03	1.71091163e-03	7.46167537e-04	1.42595224e-03	9.89213131e-04	8.10148575e-04	4.12059710e-03
0.0323684       	2.10641387e-03	1.70070242e-03	7.41127707e-04	1.41695366e-03	9.71599753e-04	7.73783343e-04	4.02971171e-03
0.0326316       	1.59996247e-03	1.67458490e-03	7.33185450e-04	1.39866435e-03	9.53666239e-04	7.51521410e-04	3.95186749e-03
0.0328947       	1.58187658e-03	1.65859547e-03	7.27011565e-04	1.38650863e-03	9.35499683e-04	7.31511846e-04	3.87188774e-03
0.0331579       	1.53943087e-03	1.64177070e-03	7.20311384e-04	1.37288455e-03	9.17424959e-04	7.12526664e-04	3.79571636e-03
0.0334211       	1.64226066e-03	1.62756822e-03	7.14405928e-04	1.36078394e-03	9.00287359e-04	6.93256014e-04	3.71972036e-03
0.0336842       	1.50936250e-03	1.60959165e-03	7.08111384e-04	1.34673090e-03	8.82229877e-04	6.71183291e-04	3.64813942e-03
0.0339474       	1.49010446e-03	1.59337461e-03	7.02004446e-04	1.33375339e-03	8.64703980e-04	6.51032070e-04	3.58307426e-03
0.0342105       	1.46866193e-03	1.57790337e-03	6.95901717e-04	1.32129648e-03	8.47574030e-04	6.35210074e-04	3.51911165e-03
0.0344737       	1.44355401e-03	1.56195764e-03	6.89873607e-04	1.30821572e-03	8.30566836e-04	6.16759266e-04	3.45669607e-03
0.0347368       	1.41924327e-03	1.54565918e-03	6.83943056e-04	1.29530732e-03	8.13951344e-04	5.98715299e-04	3.39520552e-03
0.035           	1.39991692e-03	1.52982290e-03	6.78128965e-04	1.28355014e-03	7.97409499e-04	5.80868092e-04	3.34062201e-03
0.0352632       	1.37178066e-03	1.51480198e-03	6.72111362e-04	1.27105943e-03	7.81172432e-04	5.63006193e-04	3.28454042e-03
0.0355263       	1.34714983e-03	1.49991702e-03	6.66002905e-04	1.25935347e-03	7.64990409e-04	5.45721268e-04	3.23332177e-03
0.0357895       	1.32584489e-03	1.48475649e-03	6.60135546e-04	1.24746578e-03	7.49033989e-04	5.28533327e-04	3.18426367e-03
0.0360526       	1.30476869e-03	1.47015843e-03	6.54426241e-04	1.23509991e-03	7.33368661e-04	5.12595024e-04	3.13753110e-03
0.0363158       	1.27501625e-03	1.45532772e-03	6.48730870e-04	1.22330910e-03	7.17985055e-04	4.96406209e-04	3.09188930e-03
0.0365789       	1.24504060e-03	1.44134705e-03	6.42924086e-04	1.21151059e-03	7.02822820e-04	4.79851022e-04	3.04950190e-03
0.0368421       	1.22117715e-03	1.42753749e-03	6.37174903e-04	1.19994031e-03	6.87942416e-04	4.64359182e-04	3.01148788e-03
0.0371053       	1.19492851e-03	1.41397893e-03	6.31652497e-04	1.18772451e-03	6.73263146e-04	4.49241302e-04	2.97471876e-03
0.0373684       	1.16643752e-03	1.39961039e-03	6.26058343e-04	1.17546643e-03	6.58931870e-04	4.33931662e-04	2.93919034e-03
0.0376316       	1.13850478e-03	1.38649573e-03	6.20396607e-04	1.16333495e-03	6.44996121e-04	4.20275391e-04	2.90823445e-03
0.0378947       	1.11177175e-03	1.37353190e-03	6.14539731e-04	1.15153811e-03	6.31057044e-04	4.05868236e-04	2.87951910e-03
0.0381579       	1.08256666e-03	1.35993785e-03	6.09137200e-04	1.14025115e-03	6.17533833e-04	3.93013093e-04	2.85407905e-03
0.0384211       	1.05030276e-03	1.34716830e-03	6.03838707e-04	1.12812242e-03	6.04190235e-04	3.79877013e-04	2.82988998e-03
0.0386842       	1.02690776e-03	1.33480497e-03	5.98401082e-04	1.11577103e-03	5.91166336e-04	3.67678965e-04	2.80734443e-03
0.0389474       	9.93978313e-04	1.32218078e-03	5.92788941e-04	1.10389260e-03	5.78393489e-04	3.55240290e-04	2.78878244e-03
0.0392105       	9.60620031e-04	1.30947149e-03	5.87154130e-04	1.09231252e-03	5.66041926e-04	3.42930054e-04	2.77282796e-03
0.0394737       	9.36086789e-04	1.29741201e-03	5.81673728e-04	1.08016985e-03	5.53954562e-04	3.31242797e-04	2.75837062e-03
0.0397368       	9.07471244e-04	1.28571894e-03	5.76321931e-04	1.06786556e-03	5.42243119e-04	3.20455868e-04	2.74575001e-03
0.04            	8.77490305e-04	1.27417022e-03	5.70881538e-04	1.05522000e-03	5.30754694e-04	3.09631189e-04	2.73409130e-03
0.0402632       	8.54279899e-04	1.26252761e-03	5.65364365e-04	1.04235425e-03	5.19629346e-04	2.99717619e-04	2.72406337e-03
0.0405263       	8.28851808e-04	1.25121147e-03	5.59900628e-04	1.03026593e-03	5.08496807e-04	2.89964168e-04	2.71380365e-03
0.0407895       	7.99527938e-04	1.23965844e-03	5.54336206e-04	1.01777117e-03	4.97732924e-04	2.80114493e-04	2.70556717e-03
0.0410526       	7.76809882e-04	1.22859461e-03	5.48800717e-04	1.00498443e-03	4.87399468e-04	2.71174155e-04	2.69792527e-03
0.0413158       	7.48470122e-04	1.21682796e-03	5.43280276e-04	9.91970607e-04	4.77272760e-04	2.62419861e-04	2.69062585e-03
0.0415789       	7.14638979e-04	1.20493835e-03	5.37819549e-04	9.78610107e-04	4.67213570e-04	2.53926843e-04	2.68793566e-03
0.0418421       	6.95978856e-04	1.19346156e-03	5.32325625e-04	9.65872724e-04	4.57420066e-04	2.46333799e-04	2.68750774e-03
0.0421053       	6.68416805e-04	1.18230427e-03	5.26738753e-04	9.53455871e-04	4.47760100e-04	2.38951036e-04	2.69326005e-03
0.0423684       	6.39179503e-04	1.17132375e-03	5.21163429e-04	9.40564289e-04	4.38589987e-04	2.31686983e-04	2.70293835e-03
0.0426316       	6.38352858e-04	1.16158210e-03	5.15962650e-04	9.29147953e-04	4.29060390e-04	2.27716296e-04	2.71484822e-03
0.0428947       	6.04735115e-04	1.14883656e-03	5.10217913e-04	9.15955052e-04	4.20370234e-04	2.16204195e-04	2.72841417e-03
0.0431579       	5.88392691e-04	1.13687679e-03	5.04474021e-04	9.03025069e-04	4.11779703e-04	2.10260492e-04	2.74113358e-03
