# Residuals     
# Time          	p               	Ux              	Uy              	Uz              	k               	epsilon         	h               
0               	N/A	N/A	N/A	N/A	N/A
0.0176471       	9.84157488e-03	3.06067419e-03	5.23635729e-04	2.14791505e-03	4.39462095e-04	3.71910519e-05	8.00835722e-03
0.0179412       	9.68832346e-03	3.03616719e-03	5.18563740e-04	2.12521847e-03	4.33478846e-04	3.79536927e-05	7.74921331e-03
0.0182353       	9.57367149e-03	3.01080451e-03	5.13511851e-04	2.10201580e-03	4.27836456e-04	3.47648968e-05	7.50620725e-03
0.0185294       	9.42173198e-03	2.98845481e-03	5.08769812e-04	2.08422387e-03	4.22261373e-04	3.41002173e-05	7.27295405e-03
0.0188235       	9.25843017e-03	2.96350550e-03	5.03817948e-04	2.06035654e-03	4.16603827e-04	3.49193562e-05	7.04880790e-03
0.0191176       	9.18840016e-03	2.93748555e-03	4.99024632e-04	2.03951392e-03	4.11211741e-04	3.48718746e-05	6.83541568e-03
0.0194118       	8.96250836e-03	2.91176827e-03	4.94232383e-04	2.01686738e-03	4.05851565e-04	3.23652739e-05	6.63338817e-03
0.0197059       	8.89020563e-03	2.88539342e-03	4.89564332e-04	1.99718581e-03	4.00663457e-04	3.34977572e-05	6.44538846e-03
0.02            	8.72706389e-03	2.86022712e-03	4.84914170e-04	1.97557700e-03	3.95651569e-04	3.29147875e-05	6.26135212e-03
0.020303        	8.77205179e-03	2.87896166e-03	4.90899646e-04	1.98353167e-03	3.99801773e-04	3.35792397e-05	6.24123812e-03
0.0206061       	8.54341771e-03	2.85067649e-03	4.86135623e-04	1.96238759e-03	3.94620364e-04	3.12200157e-05	6.06733807e-03
0.0209091       	8.40350019e-03	2.82239037e-03	4.81380964e-04	1.94152144e-03	3.89550221e-04	3.16833369e-05	5.90315571e-03
0.0212121       	8.21063473e-03	2.79141252e-03	4.76482311e-04	1.91942602e-03	3.84721675e-04	2.93467255e-05	5.74425601e-03
0.0215152       	8.14481565e-03	2.76274384e-03	4.71844623e-04	1.89872725e-03	3.79819248e-04	3.10182568e-05	5.59322159e-03
0.0218182       	8.02351469e-03	2.73155089e-03	4.67066321e-04	1.87673961e-03	3.75082164e-04	2.96952032e-05	5.44826162e-03
0.0221212       	7.88899958e-03	2.70355139e-03	4.62591196e-04	1.85809337e-03	3.70339317e-04	2.66683869e-05	5.31023547e-03
0.0224242       	7.70589621e-03	2.67286136e-03	4.57962426e-04	1.83710522e-03	3.65750161e-04	2.82682977e-05	5.17900898e-03
0.0227273       	7.59347242e-03	2.63878115e-03	4.53177961e-04	1.81392551e-03	3.61367028e-04	2.82229811e-05	5.05227605e-03
0.0230303       	7.51063649e-03	2.61117940e-03	4.48941143e-04	1.79782419e-03	3.56958348e-04	2.78734679e-05	4.93643150e-03
0.0233333       	7.39429172e-03	2.58100961e-03	4.44450495e-04	1.77691806e-03	3.52595116e-04	2.88976800e-05	4.82274748e-03
0.0236364       	7.19926571e-03	2.54789618e-03	4.39815092e-04	1.75462950e-03	3.48330745e-04	2.71786872e-05	4.71264031e-03
0.0239394       	7.22481719e-03	2.51755528e-03	4.35521409e-04	1.73650963e-03	3.44353557e-04	2.61215974e-05	4.61106816e-03
0.0242424       	7.04406148e-03	2.48577369e-03	4.31030163e-04	1.71572420e-03	3.40379260e-04	2.77187846e-05	4.51128326e-03
0.0245455       	6.94305126e-03	2.45594531e-03	4.26834618e-04	1.69813334e-03	3.36274644e-04	2.62443228e-05	4.41930465e-03
0.0248485       	6.88714980e-03	2.42683379e-03	4.22741716e-04	1.68202029e-03	3.32455648e-04	2.62462508e-05	4.33109307e-03
0.0251515       	6.73182558e-03	2.39567866e-03	4.18399807e-04	1.66105470e-03	3.28643398e-04	2.53964079e-05	4.24652566e-03
0.0254545       	6.61796138e-03	2.36389084e-03	4.14223642e-04	1.64379122e-03	3.25038716e-04	2.41030944e-05	4.16617685e-03
0.0257576       	6.56032794e-03	2.33301994e-03	4.10029775e-04	1.62442581e-03	3.21409698e-04	2.48189310e-05	4.09063325e-03
0.0260606       	6.47289239e-03	2.30209370e-03	4.05941021e-04	1.60714569e-03	3.17964050e-04	2.34186945e-05	4.01781071e-03
0.0263636       	6.39442331e-03	2.27523158e-03	4.02143060e-04	1.59293176e-03	3.14572236e-04	2.31789787e-05	3.94983952e-03
