Time,"U:0","U:1","U:2","epsilon","k","nut","p","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.000000e+03,-1.990758e-01,1.760712e+01,0.000000e+00,1.705935e+01,1.544982e+00,1.260222e-02,-1.850808e+01,0.000000e+00,1,1.536000e-02,-1.046400e-01,1.000000e-01,0.000000e+00
2.000000e+03,-2.024074e-01,1.761065e+01,0.000000e+00,1.735377e+01,1.568046e+00,1.276131e-02,-1.855532e+01,0.000000e+00,1,1.560000e-02,-1.044000e-01,1.000000e-01,0.000000e+00
2.000000e+03,-2.057390e-01,1.761418e+01,0.000000e+00,1.764818e+01,1.591110e+00,1.292038e-02,-1.860255e+01,0.000000e+00,1,1.584000e-02,-1.041600e-01,1.000000e-01,0.000000e+00
2.000000e+03,-2.090706e-01,1.761771e+01,0.000000e+00,1.794259e+01,1.614173e+00,1.307946e-02,-1.864979e+01,0.000000e+00,1,1.608000e-02,-1.039200e-01,1.000000e-01,0.000000e+00
2.000000e+03,-2.122866e-01,1.762120e+01,0.000000e+00,1.835293e+01,1.639435e+00,1.319857e-02,-1.870348e+01,0.000000e+00,1,1.632000e-02,-1.036800e-01,1.000000e-01,0.000000e+00
2.000000e+03,-2.154913e-01,1.762469e+01,0.000000e+00,1.877480e+01,1.664916e+00,1.331371e-02,-1.875782e+01,0.000000e+00,1,1.656000e-02,-1.034400e-01,1.000000e-01,0.000000e+00
2.000000e+03,-2.186958e-01,1.762818e+01,0.000000e+00,1.919665e+01,1.690396e+00,1.342885e-02,-1.881215e+01,0.000000e+00,1,1.680000e-02,-1.032000e-01,1.000000e-01,0.000000e+00
2.000000e+03,-2.219004e-01,1.763167e+01,0.000000e+00,1.961850e+01,1.715877e+00,1.354398e-02,-1.886649e+01,0.000000e+00,1,1.704000e-02,-1.029600e-01,1.000000e-01,0.000000e+00
2.000000e+03,-2.251049e-01,1.763515e+01,0.000000e+00,2.004035e+01,1.741357e+00,1.365912e-02,-1.892082e+01,0.000000e+00,1,1.728000e-02,-1.027200e-01,1.000000e-01,0.000000e+00
2.000000e+03,-2.283096e-01,1.763864e+01,0.000000e+00,2.046222e+01,1.766838e+00,1.377426e-02,-1.897516e+01,0.000000e+00,1,1.752000e-02,-1.024800e-01,1.000000e-01,0.000000e+00
2.000000e+03,-2.315141e-01,1.764213e+01,0.000000e+00,2.088407e+01,1.792318e+00,1.388940e-02,-1.902949e+01,0.000000e+00,1,1.776000e-02,-1.022400e-01,1.000000e-01,0.000000e+00
2.000000e+03,-2.347187e-01,1.764562e+01,0.000000e+00,2.130592e+01,1.817798e+00,1.400454e-02,-1.908383e+01,0.000000e+00,1,1.800000e-02,-1.020000e-01,1.000000e-01,0.000000e+00
2.000000e+03,-2.379232e-01,1.764911e+01,0.000000e+00,2.172778e+01,1.843278e+00,1.411967e-02,-1.913816e+01,0.000000e+00,1,1.824000e-02,-1.017600e-01,1.000000e-01,0.000000e+00
2.000000e+03,-2.411279e-01,1.765259e+01,0.000000e+00,2.214964e+01,1.868759e+00,1.423481e-02,-1.919250e+01,0.000000e+00,1,1.848000e-02,-1.015200e-01,1.000000e-01,0.000000e+00
2.000000e+03,-2.443324e-01,1.765608e+01,0.000000e+00,2.257149e+01,1.894239e+00,1.434995e-02,-1.924683e+01,0.000000e+00,1,1.872000e-02,-1.012800e-01,1.000000e-01,0.000000e+00
2.000000e+03,-2.475370e-01,1.765957e+01,0.000000e+00,2.299335e+01,1.919720e+00,1.446509e-02,-1.930117e+01,0.000000e+00,1,1.896000e-02,-1.010400e-01,1.000000e-01,0.000000e+00
2.000000e+03,-2.507112e-01,1.766306e+01,0.000000e+00,2.345337e+01,1.945880e+00,1.457202e-02,-1.935727e+01,0.000000e+00,1,1.920000e-02,-1.008000e-01,1.000000e-01,0.000000e+00
2.000000e+03,-2.537686e-01,1.766658e+01,0.000000e+00,2.406067e+01,1.974663e+00,1.464732e-02,-1.942020e+01,0.000000e+00,1,1.944000e-02,-1.005600e-01,1.000000e-01,0.000000e+00
