# Residuals     
# Time          	p               	Ux              	Uy              	Uz              	k               	epsilon         
94              	1.73274280e-02	3.95275042e-03	2.43397272e-03	3.41692811e-03	2.16210185e-03	1.32893909e-03
95              	1.72160865e-02	3.91513237e-03	2.40484409e-03	3.37735328e-03	2.14262522e-03	1.35164295e-03
96              	1.78681060e-02	3.87248561e-03	2.36997763e-03	3.33794518e-03	2.11810305e-03	1.38102907e-03
97              	1.89457915e-02	3.85220811e-03	2.34293845e-03	3.31509414e-03	2.10093975e-03	1.38306392e-03
98              	2.01932167e-02	3.84028667e-03	2.31433986e-03	3.29485617e-03	2.09053587e-03	1.38443790e-03
99              	2.09183190e-02	3.83432485e-03	2.28605056e-03	3.28152620e-03	2.07668266e-03	1.37488198e-03
100             	2.14977250e-02	3.83718235e-03	2.25969114e-03	3.27152963e-03	2.07751604e-03	1.33093421e-03
101             	2.15831984e-02	3.84975337e-03	2.23704769e-03	3.27305637e-03	2.07394280e-03	1.31453691e-03
102             	2.16895356e-02	3.83235949e-03	2.21355333e-03	3.25114688e-03	2.06343435e-03	1.28004283e-03
103             	2.13672801e-02	3.78474448e-03	2.18770717e-03	3.20867835e-03	2.05443758e-03	1.28626471e-03
104             	2.05601813e-02	3.74684139e-03	2.16181787e-03	3.17238444e-03	2.04480151e-03	1.31963352e-03
105             	2.08289585e-02	3.70324767e-03	2.13692831e-03	3.13341023e-03	2.01016064e-03	1.33291302e-03
106             	2.18275812e-02	3.65302083e-03	2.11159834e-03	3.09004912e-03	1.98599674e-03	1.32444441e-03
107             	2.22771601e-02	3.61122538e-03	2.08716545e-03	3.05302510e-03	1.94019947e-03	1.30611599e-03
108             	2.24173354e-02	3.57972488e-03	2.06288450e-03	3.02480829e-03	1.89948502e-03	1.23914912e-03
109             	2.26804746e-02	3.55501294e-03	2.04303578e-03	2.99813374e-03	1.87565281e-03	1.18399054e-03
110             	2.20736181e-02	3.52248336e-03	2.02191018e-03	2.97236126e-03	1.84902531e-03	1.12708378e-03
111             	2.08616342e-02	3.49379797e-03	2.00292272e-03	2.94547774e-03	1.83001076e-03	1.12103236e-03
112             	1.98608338e-02	3.46486885e-03	1.98582442e-03	2.92039867e-03	1.81497749e-03	1.13123604e-03
113             	1.86587678e-02	3.44061893e-03	1.96655729e-03	2.89633062e-03	1.80710674e-03	1.16160525e-03
114             	1.81843674e-02	3.42234510e-03	1.94674407e-03	2.87650766e-03	1.79899143e-03	1.19377816e-03
115             	1.77559604e-02	3.39795633e-03	1.92548348e-03	2.85418891e-03	1.79532222e-03	1.19248110e-03
116             	1.76707131e-02	3.36953699e-03	1.90026557e-03	2.82878618e-03	1.78454971e-03	1.21316633e-03
117             	1.83264373e-02	3.35038794e-03	1.88258139e-03	2.80820376e-03	1.77071035e-03	1.20574154e-03
118             	1.93419036e-02	3.32039405e-03	1.86223143e-03	2.78253853e-03	1.75165926e-03	1.19288179e-03
119             	1.97366252e-02	3.30197634e-03	1.84453535e-03	2.76248118e-03	1.73692379e-03	1.20128391e-03
120             	2.06530922e-02	3.28968094e-03	1.82655525e-03	2.74810403e-03	1.70360048e-03	1.14725792e-03
121             	2.11908907e-02	3.28858271e-03	1.81059059e-03	2.74283512e-03	1.68870523e-03	1.06849106e-03
122             	2.10771206e-02	3.27597683e-03	1.79318231e-03	2.72983987e-03	1.67434737e-03	1.03377777e-03
123             	1.99825596e-02	3.24207093e-03	1.77469404e-03	2.70119943e-03	1.66706325e-03	1.00825972e-03
124             	1.88780011e-02	3.22447003e-03	1.75833851e-03	2.68104742e-03	1.67667621e-03	1.04604035e-03
125             	1.88599763e-02	3.18555544e-03	1.74007664e-03	2.65258962e-03	1.66835571e-03	1.09482099e-03
126             	1.95889317e-02	3.15183882e-03	1.72626216e-03	2.62554026e-03	1.65561501e-03	1.14809746e-03
127             	2.08069662e-02	3.12372295e-03	1.70909630e-03	2.60008292e-03	1.63382808e-03	1.16582188e-03
128             	2.20094872e-02	3.11471574e-03	1.69788077e-03	2.58675789e-03	1.61320872e-03	1.13800797e-03
129             	2.28237128e-02	3.09807911e-03	1.67946141e-03	2.57338209e-03	1.59209091e-03	1.09795998e-03
130             	2.22555164e-02	3.08511109e-03	1.66559739e-03	2.55999497e-03	1.58468824e-03	1.03128240e-03
131             	2.08852399e-02	3.06762365e-03	1.65076962e-03	2.54522550e-03	1.57243178e-03	1.01511493e-03
132             	1.99007609e-02	3.04690292e-03	1.63686301e-03	2.52629142e-03	1.55914373e-03	9.96393620e-04
